Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://underwings.org,Underwings – Cybersecurity Solutions | UAE,84,0.03430248039031693,n/a,1,200,0.231,0,1,1,1,0,Self-canonical,0,40,23,3,0,3,0,16,126,10,"cybersecurity startup in uae. oscp+ & cpts certified vapt, iso 27001 implementation, security awareness training, and software sales with hands-on support.",
https://underwings.org/,Underwings – Cybersecurity Solutions | UAE,80,0.034274755599059736,n/a,0,200,0.87,0,1,1,1,0,Self-canonical,1,41,22,3,0,3,0,16,126,10,"cybersecurity startup in uae. oscp+ & cpts certified vapt, iso 27001 implementation, security awareness training, and software sales with hands-on support.",
https://underwings.org/about,About Underwings - Cybersecurity Company UAE,60,0.029019436575263166,n/a,1,200,0.224,0,0,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,124,11,"underwings is a cybersecurity startup operating from uae, providing security software sales, vapt services, iso 27001 implementation, and security training — built for growing businesses.",
https://underwings.org/ar,أندروينغز - حلول الأمن السيبراني | الإمارات والهند,76,0.02972271841109588,n/a,1,200,0.221,0,1,1,1,0,Self-canonical,0,40,2,1,0,2,0,8,24,4,أندروينغز - شركة رائدة في الأمن السيبراني تقدم خدمات اختبار الاختراق (vapt)، تطبيق معيار iso 27001، التدريب الأمني، وبيع البرمجيات الأمنية في الإمارات والهند. فريق معتمد oscp و cpts.,
https://underwings.org/blog,Blog - Underwings Cybersecurity Solutions,72,0.029220000343870088,n/a,1,200,0.243,0,1,1,1,0,Self-canonical,0,39,28,3,0,3,1,15,124,10,"expert insights on cybersecurity, compliance frameworks, penetration testing, and security best practices from the underwings team. stay ahead of threats.",
https://underwings.org/blog/7-azure-misconfigurations-uae-assessments,The 7 Azure Misconfigurations We See in Every UAE Assessment - Underwings Blog,32,0.011774640240047207,n/a,2,200,0.249,0,1,1,1,0,Self-canonical,0,4,24,5,0,3,1,16,126,11,"every uae azure tenant we've reviewed shares the same 7 misconfigurations. here's what they are, why they happen, and how to fix them in an afternoon.",
https://underwings.org/blog/iso-27005-risk-register-uae-sme-playbook,Building an ISO 27005-Aligned Risk Register — A UAE SME Playbook - Underwings Blog,44,0.012730958142225447,n/a,2,200,0.257,0,1,1,1,0,Self-canonical,0,9,25,5,0,3,1,16,126,11,"how to build a defensible cybersecurity risk register that satisfies iso 27001, nesa, and pdpl — with a scoring rubric, template, and common uae-sector risks.",
https://underwings.org/blog/nesa-uae-ia-v2-in-plain-english,NESA / UAE IA V2 in Plain English — What Every UAE Business Needs to Know - Underwings Blog,4,0.011141015939566226,n/a,2,200,0.247,0,1,1,1,0,Self-canonical,0,1,24,5,0,3,1,16,126,12,"nesa and uae ia v2 compliance explained without the jargon — what it covers, who it applies to, how it differs from iso 27001, and what a realistic gap assessment costs.",
https://underwings.org/blog/penetration-testing-vs-vulnerability-assessment-uae,Penetration Testing vs Vulnerability Assessment — What's the Difference and Which Do You Need? - Underwings Blog,48,0.01273773364039922,n/a,2,200,0.253,0,1,1,1,0,Self-canonical,0,9,26,5,0,3,1,16,126,11,"pen test vs vulnerability assessment — what you're paying for, what each produces, and which one actually satisfies your iso 27001 or enterprise client demand.",
https://underwings.org/blog/phishing-simulation-vs-awareness-training-uae,Phishing Simulation vs Security Awareness Training — Which Should UAE SMEs Start With? - Underwings Blog,44,0.012730958142225447,n/a,2,200,0.467,0,1,1,1,0,Self-canonical,0,9,25,5,0,3,1,16,126,11,"most uae smes ask us this: do we run a phishing simulation first, or do awareness training first? here's the honest answer based on 90-day behaviour data.",
https://underwings.org/blog/top-5-cybersecurity-threats-facing-uae-smes,Top 5 Cybersecurity Threats Facing UAE SMEs — And How to Fight Back - Underwings Blog,4,0.011141015939566226,n/a,2,200,0.252,0,1,1,1,0,Self-canonical,0,1,24,5,0,3,1,16,126,12,small and mid-size businesses in the uae are prime targets for cybercriminals. here are the five biggest threats you face today — and practical steps to protect your company.,
https://underwings.org/blog/uae-pdpl-compliance-checklist-2026,UAE Personal Data Protection Law (PDPL): A Compliance Checklist for 2026 - Underwings Blog,4,0.011141015939566226,n/a,2,200,0.262,0,1,1,1,0,Self-canonical,0,1,24,5,0,3,1,16,126,12,"the uae's data protection law is here, and enforcement is real. this practical checklist helps you understand what the law requires and how to make your business compliant — step by step.",
https://underwings.org/blog/vapt-explained-what-uae-business-owners-should-know,VAPT Explained: What Every UAE Business Owner Should Know Before Their First Penetration Test - Underwings Blog,4,0.011141015939566226,n/a,2,200,0.254,0,1,1,1,0,Self-canonical,0,1,24,5,0,3,1,16,126,12,"penetration testing sounds intimidating, but it does not have to be. this guide breaks down what vapt is, how it works, and what to expect — in plain language.",
https://underwings.org/blog/why-uae-businesses-cant-afford-to-ignore-iso-27001-in-2026,Why UAE Businesses Can't Afford to Ignore ISO 27001 in 2026 - Underwings Blog,4,0.011141015939566226,n/a,2,200,0.255,0,1,1,1,0,Self-canonical,0,1,24,5,0,3,1,16,126,13,"with the uae tightening data protection laws and clients demanding proof of security, iso 27001 certification is no longer optional — it is a business necessity. here is what you need to know.",
https://underwings.org/brand,Brand Guidelines | Underwings Cybersecurity Solutions,60,0.029019436575263166,n/a,1,200,0.224,0,0,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,124,12,"official underwings brand guidelines. logo usage rules, color palette, geist typography, and downloadable brand assets for partners and media.",
https://underwings.org/careers,Careers – Join the Underwings Team | Cybersecurity Jobs UAE,60,0.029019436575263166,n/a,1,200,0.245,0,1,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,124,11,"join underwings cybersecurity solutions. we're hiring penetration testers, security consultants, developers, and sales professionals in uae. remote-first, startup culture.",
https://underwings.org/contact,,-,0.012856095096522965,n/a,1,404,0.222,0,0,0,0,0,-,0,6,0,0,0,-,-,0,0,1,-,
https://underwings.org/llms.txt,,-,-,n/a,0,404,0.438,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,
https://underwings.org/portal,Client Portal - Underwings Cybersecurity Solutions,60,0.029019436575263166,n/a,1,200,0.225,0,0,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,126,11,"secure client portal for viewing vapt reports, tracking remediation progress, and managing your cybersecurity engagements.",
https://underwings.org/privacy-policy,Privacy Policy | Underwings Cybersecurity Solutions,60,0.029019436575263166,n/a,1,200,0.223,0,0,1,1,0,Self-canonical,0,39,19,3,0,3,1,15,124,10,"learn how underwings collects, secures, and protects your personal data. our privacy practices are compliant with gdpr and uae data protection regulations.",
https://underwings.org/robots.txt,,-,-,n/a,0,200,0.656,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://underwings.org/services,"Cybersecurity Services in UAE — 5 Categories, 15 Flagship Services | Underwings",60,0.029019436575263166,n/a,1,200,0.223,0,1,1,1,0,Self-canonical,0,39,19,3,0,3,1,17,127,11,"uae cybersecurity services by named, certified practitioners. offensive security, cloud security, network & infrastructure, grc (iso 27001 / nesa / pdpl), training & awareness. published prices, 48-hour written quotes.",
https://underwings.org/services/cloud-security,Cloud Security in UAE — Azure & Microsoft 365 Assessments | Underwings,64,0.029076710544422894,n/a,1,200,0.224,0,1,1,1,0,Self-canonical,0,39,21,3,0,3,1,17,127,12,"uae cloud security assessments against cis azure benchmark and microsoft 365 best practices. entra id, conditional access, defender posture. fix the 10 – 30 high-severity misconfigurations most uae businesses don't know they have.",
https://underwings.org/services/cloud-security/azure-cloud-security-assessment,Azure Cloud Security Assessment UAE — CIS Benchmark & Entra ID Review | Underwings,40,0.01237110134416211,n/a,2,200,0.222,0,1,1,1,0,Self-canonical,0,6,22,3,0,3,1,17,127,10,"uae azure cloud security assessment against cis azure foundations benchmark. entra id, rbac, conditional access, storage, nsg, defender for cloud. aed 15,000 – 35,000. led by azure security certified practitioner.",
https://underwings.org/services/cloud-security/microsoft-365-security-review,"Microsoft 365 Security Review UAE — Exchange, SharePoint, Teams, CA | Underwings",16,0.011519462675554912,n/a,2,200,0.223,0,1,1,1,0,Self-canonical,0,2,22,3,0,3,1,17,127,11,"uae microsoft 365 security posture review against cis microsoft 365 benchmark. exchange, sharepoint, teams, conditional access, mfa, dlp. aed 10,000 – 25,000. led by azure security + security+ practitioner.",
https://underwings.org/services/consultation,,-,0.02972271841109588,n/a,1,301,0.214,0,0,0,0,0,-,0,40,1,0,0,-,-,0,0,0,-,
https://underwings.org/services/grc,"Cybersecurity GRC in UAE — ISO 27001, NESA, PDPL Implementation | Underwings",100,0.06023399113969553,n/a,1,200,0.225,0,1,1,1,0,Self-canonical,0,40,24,3,0,3,1,17,127,13,"uae cybersecurity grc services by an iso 27001 lead auditor. iso 27001 gap + implementation, nesa / uae ia v2, uae pdpl advisory, risk register. published prices, partner-issued certification.",
https://underwings.org/services/grc/iso-27001-gap-assessment,ISO 27001 Gap Assessment UAE — Current-State Review + Roadmap | Underwings,36,0.012339558157189647,n/a,2,200,0.225,0,1,1,1,0,Self-canonical,0,3,24,3,0,3,1,17,127,9,"uae iso 27001:2022 gap assessment. all 93 annex a controls reviewed. prioritised 90-day / 6-month / 12-month remediation roadmap. led by iso 27001 lead auditor. aed 20,000 – 40,000.",
